contract_award_unique_key,award_id_piid,total_obligated_amount,current_total_value_of_award,award_base_action_date,award_base_action_date_fiscal_year,awarding_agency_name,awarding_sub_agency_name,recipient_uei,recipient_name,recipient_parent_name,primary_place_of_performance_county_name,primary_place_of_performance_state_code,primary_place_of_performance_state_name,award_type,prime_award_base_transaction_description,naics_code,naics_description,extent_competed,type_of_set_aside,number_of_offers_received
CONT_AWD_0111_9700_F1962801D0016_9700,0111,72624882.8,2098396.0,2016-06-10,2016,Department of Defense,Department of the Air Force,WZWRLY4G3PL8,THE BOEING COMPANY,THE BOEING COMPANY,KING,WA,WASHINGTON,DELIVERY ORDER,IGF::OT::IGF AIRBORNE WARNING AND CONTROL SYSTEM (AWACS) BLOCK 40/45 INTERIM CONTRACTOR SUPPORT,336411,AIRCRAFT MANUFACTURING,NOT AVAILABLE FOR COMPETITION,,
CONT_AWD_0111_9700_FA862010G3038_9700,0111,15094680.0,18002513.0,2013-09-30,2013,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",GENERAL ATOMICS,SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,IGF::OT::IGF CONTRACTOR LOGISTICS SUPPORT FOR ITALIAN AIR FORCE MQ-9,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0112_9700_FA862010G3038_9700,0112,37842843.5,37983234.88,2013-09-30,2013,Department of Defense,Defense Contract Management Agency,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",GENERAL ATOMICS,SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,FRANCE MQ-9 URGENT REQUEST HARDWARE,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0113_9700_F1962896D0038_9700,0113,5211961.07,5211961.07,2007-09-19,2007,Department of Defense,Department of the Air Force,YD6LTFVUZNG1,RAYTHEON COMPANY,ROCKWELL COLLINS AUSTRALIA PTY LIMITED,MIDDLESEX,MA,MASSACHUSETTS,DELIVERY ORDER,CHANGED DELIVERY LOCATIONS FOR DVG SWITCH KITS,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",FULL AND OPEN COMPETITION,NO SET ASIDE USED.,2.0
CONT_AWD_0113_9700_FA862010G3038_9700,0113,46765528.22,53743766.8,2013-11-01,2014,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",GENERAL ATOMICS,SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,IGF::OT::IGF FRENCH AIR FORCE (FAF) MQ-9 UAS CONTRACTOR LOGISTICS SUPPORT (PHASE 1),336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0121_9700_FA862010G3038_9700,0121,1000383.99,374275.99,2014-08-20,2014,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",GENERAL ATOMICS,SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,BADDC FIELDING SUPPORT,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0122_9700_W58RGZ09D0130_9700,0122,2083229.0,2083229.0,2011-04-01,2011,Department of Defense,Department of the Army,E3D7U1KNNJC8,"SCIENCE AND ENGINEERING SERVICES, LLC",SCIENCE AND ENGINEERING SERVICES LLC,MADISON,AL,ALABAMA,DELIVERY ORDER,AWARD OF HALS-3XT,336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,
CONT_AWD_0123_9700_FA862010G3038_9700,0123,4889831.87,5863061.0,2014-10-14,2015,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",GENERAL ATOMICS,SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,"NEW D.O, FY15 MRC",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0124_9700_FA862010G3038_9700,0124,2058887.09,4900698.0,2014-10-30,2015,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",GENERAL ATOMICS,SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,IGF::CT::IGF BLOCK 30 SUSTAINING ENGINEERING&MAINTENANCE,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0130_9700_FA862010G3038_9700,0130,1410416.34,1593170.0,2014-08-25,2014,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",GENERAL ATOMICS,SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,MQ-9 ER PLUS HD KITS,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0131_9700_FA862010G3038_9700,0131,586856.55,586856.55,2015-02-10,2015,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",GENERAL ATOMICS,SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,GA-ASI MQ-9 INFRARED NOSE CAMERA UPGRADE,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0132_9700_N0001914G0020_9700,0132,651104357.25,802120181.97,2017-03-31,2017,Department of Defense,Department of the Navy,G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,LOCKHEED MARTIN CORP,TARRANT,TX,TEXAS,DELIVERY ORDER,ISRAEL UNIQUE SPARES,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0133_9700_FA862010G3038_9700,0133,1041142.0,1041142.0,2015-01-14,2015,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",GENERAL ATOMICS,SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,IGF::CT::IGF NETHERLANDS AIRWORTHINESS ASSESSMENT,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0133_9700_N0001914G0020_9700,0133,6976851.54,8117610.54,2017-02-08,2017,Department of Defense,Defense Contract Management Agency,G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,LOCKHEED MARTIN CORPORATION,TARRANT,TX,TEXAS,DELIVERY ORDER,USRL BLOCK 3F UPDATE; IGF::OT::IGF,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0134_9700_FA810709D0001_9700,0134,351737.56,395320.08,2015-05-20,2015,Department of Defense,Defense Contract Management Agency,XM8ZJ6ML9CW7,THE BOEING COMPANY,THE BOEING COMPANY,OKLAHOMA,OK,OKLAHOMA,DELIVERY ORDER,IGF::OT::IGF  ENGINEERING SERVICES FOR B-52,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,
CONT_AWD_0134_9700_FA823207D0001_9700,0134,292575.2,292575.2,2013-04-04,2013,Department of Defense,Department of the Air Force,GUVUU89P78Q3,NORTHROP GRUMMAN SYSTEMS CORPORATION,NORTHROP GRUMMAN CORPORATION,ANNE ARUNDEL,MD,MARYLAND,DELIVERY ORDER,IGF::OT::IGF V-9 RETURN AND REPAIR,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT AVAILABLE FOR COMPETITION,,
CONT_AWD_0134_9700_FA862010G3038_9700,0134,1711838.0,1711838.0,2015-03-31,2015,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",GENERAL ATOMICS,SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,MQ-9 MALET VORTEX UPPER C-BAND,336411,AIRCRAFT MANUFACTURING,NOT AVAILABLE FOR COMPETITION,NO SET ASIDE USED.,1.0
CONT_AWD_0136_9700_FA823207D0001_9700,0136,458097.85,458097.85,2013-04-22,2013,Department of Defense,Department of the Air Force,GUVUU89P78Q3,NORTHROP GRUMMAN SYSTEMS CORPORATION,NORTHROP GRUMMAN CORPORATION,ANNE ARUNDEL,MD,MARYLAND,DELIVERY ORDER,IGF::OT::IGF V-9 RETURN AND REPAIR,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT AVAILABLE FOR COMPETITION,,
CONT_AWD_0137_9700_FA823207D0001_9700,0137,1712824.0,1712824.0,2013-07-01,2013,Department of Defense,Department of the Air Force,GUVUU89P78Q3,NORTHROP GRUMMAN SYSTEMS CORPORATION,NORTHROP GRUMMAN CORPORATION,ANNE ARUNDEL,MD,MARYLAND,DELIVERY ORDER,IGF::OT::IGF V-9  RETURN AND REPAIR,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT AVAILABLE FOR COMPETITION,,
CONT_AWD_0137_9700_FA862010G3038_9700,0137,25874114.21,26061647.21,2015-01-20,2015,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",GENERAL ATOMICS,SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,IGF::OT::IGF FMS UK CONTRACTOR LOGISTICS SUPPORT,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0140_9700_FA862010G3038_9700,0140,25829374.04,8624043.54,2015-05-08,2015,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",GENERAL ATOMICS,SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,IGF::OT::IGF MQ-9 ESIP UCA,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0141_9700_N0001914G0020_9700,0141,552070.96,552070.96,2017-01-05,2017,Department of Defense,Defense Contract Management Agency,G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,LOCKHEED MARTIN CORPORATION,TARRANT,TX,TEXAS,DELIVERY ORDER,IGF::OT::IGF- ISRAEL AIR WORTHINESS,336411,AIRCRAFT MANUFACTURING,NOT AVAILABLE FOR COMPETITION,NO SET ASIDE USED.,1.0
CONT_AWD_0142_9700_N0001914G0020_9700,0142,391105.12,740370.0,2017-02-14,2017,Department of Defense,Department of the Navy,G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,LOCKHEED MARTIN CORP,TARRANT,TX,TEXAS,DELIVERY ORDER,"DO 0142, SINGAPORE CORE SUPPORT IGF::OT::IGF",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0142_9700_W58RGZ09D0130_9700,0142,3633965.66,3633965.66,2011-09-29,2011,Department of Defense,Department of the Army,E3D7U1KNNJC8,"SCIENCE AND ENGINEERING SERVICES, LLC",SCIENCE AND ENGINEERING SERVICES LLC,MADISON,AL,ALABAMA,DELIVERY ORDER,DEGRADED VISUAL ENVIRONMENT (DVE) OPERATIONAL NEED STATEMENT (ONS) 11-14093 REQUIREMENT IS TO MATURE AND INTEGRATE THE HELICOPTER AUTONOMOUS LANDING SYSTEM (HALS) 3 EXTENDED TEST (XT) ACTIVE SENSOR TECHNOLOGY (HEREAFTER REFERRED TO AS THE DVE ONS SYSTEM) ON THE UH-60L PLATFORM.,336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,
CONT_AWD_0144_9700_N0001914G0020_9700,0144,19726272.0,19726272.0,2017-10-17,2018,Department of Defense,Department of the Navy,G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,LOCKHEED MARTIN CORP,TARRANT,TX,TEXAS,DELIVERY ORDER,"DO 0144, UK FOCFT UCA IGF::OT::IGF",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0145_9700_N0001914G0020_9700,0145,318134.62,370790.62,2017-06-06,2017,Department of Defense,Defense Contract Management Agency,G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,LOCKHEED MARTIN CORPORATION,MIDDLESEX,MA,MASSACHUSETTS,DELIVERY ORDER,IGF::OT::IGF NIMBLE FIRE 2K17,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
