contract_award_unique_key,award_id_piid,total_obligated_amount,current_total_value_of_award,award_base_action_date,award_base_action_date_fiscal_year,awarding_agency_name,awarding_sub_agency_name,recipient_uei,recipient_name,recipient_parent_name,primary_place_of_performance_county_name,primary_place_of_performance_state_code,primary_place_of_performance_state_name,award_type,prime_award_base_transaction_description,naics_code,naics_description,extent_competed,type_of_set_aside,number_of_offers_received,is_drone_related,recipient_parent_name_clean
CONT_AWD_FA238325CB001_9700_-NONE-_-NONE-,FA238325CB001,3247790.18,3251490.18,2024-12-04,2025,Department of Defense,Department of the Air Force,SMDANQJ3BCK8,"VENETIC, INC","VENETIC, INC",MIAMI-DADE,FL,FLORIDA,DEFINITIVE CONTRACT,"THIS REQUIREMENT IS TO PROCURE, INSTALL, INTEGRATE, AND TEST ONE (1) AN/ TPS-70 NEXT GENERATION TRANSMITTER (NGTX) MODERNIZATION KIT FOR THE RADAR LOCATED AT THE CACOM-2 RADAR SITE IN SAN JOSE DEL GUAVIARE, COLOMBIA.",334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT AVAILABLE FOR COMPETITION,NO SET ASIDE USED.,1.0,True,"VENETIC, INC"
CONT_AWD_FA480923P0106_9700_-NONE-_-NONE-,FA480923P0106,292471.22,292471.22,2023-09-07,2023,Department of Defense,Department of the Air Force,GJMSFBCNMSK3,"ATLANTIC DIVING SUPPLY, INC.","ADS TACTICAL, INC.",VIRGINIA BEACH CITY,VA,VIRGINIA,PURCHASE ORDER,THIS REQUIREMENT IS TO PURCHASE DRONES WITH TRAINING.,336411,AIRCRAFT MANUFACTURING,COMPETED UNDER SAP,SMALL BUSINESS SET ASIDE - TOTAL,2.0,True,"ADS TACTICAL, INC"
CONT_AWD_FA480924P0014_9700_-NONE-_-NONE-,FA480924P0014,384175.21,384175.21,2024-01-18,2024,Department of Defense,Department of the Air Force,UCRNZHB4M4X9,KINETIC CONCEPTS LLC,KINETIC CONCEPTS LLC,HYDE,NC,NORTH CAROLINA,PURCHASE ORDER,COUNTER UAS TRAINING FOR F-15,336411,AIRCRAFT MANUFACTURING,NOT COMPETED UNDER SAP,8(A) SOLE SOURCE,1.0,True,KINETIC CONCEPTS LLC
CONT_AWD_FA483023P0025_9700_-NONE-_-NONE-,FA483023P0025,356690.96,356690.96,2023-05-01,2023,Department of Defense,Department of the Air Force,GJMSFBCNMSK3,"ATLANTIC DIVING SUPPLY, INC.","ADS TACTICAL, INC.",VIRGINIA BEACH CITY,VA,VIRGINIA,PURCHASE ORDER,"SKYDIO SUAS STARTER KITS, ACCESSORIES AND TRAINING",336411,AIRCRAFT MANUFACTURING,COMPETED UNDER SAP,SMALL BUSINESS SET ASIDE - TOTAL,4.0,True,"ADS TACTICAL, INC"
CONT_AWD_FA486124P0086_9700_-NONE-_-NONE-,FA486124P0086,1980559.78,1980559.78,2024-06-11,2024,Department of Defense,Department of the Air Force,MFGHL1LNJ6L4,KESTRELX LLC,KESTRELX LLC,CLARK,NV,NEVADA,PURCHASE ORDER,MANNED AIRBORNE PLATFORM TO OPERATE AS AN UNMANNED AIRCRAFT VEHICLE (UAV) AND CRUISE MISSILE TO PROVIDE THE UNITED STATES GOVERNMENT (USG) WITH A COST-EFFECTIVE TRAINING TOOL. FLIGHTS CAN INCLUDE SUPPORTING TWO TO GREATER NUMBER OF MANNED AIRCRAFTS.,336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SMALL BUSINESS SET ASIDE - TOTAL,1.0,True,KESTRELX LLC
CONT_AWD_FA489022F0019_9700_FA489018D0010_9700,FA489022F0019,3083090.81,3083090.81,2022-03-09,2022,Department of Defense,Department of the Air Force,YJG1MDHLBC88,"AEROVIRONMENT, INC.","AEROVIRONMENT, INC.",,,,DELIVERY ORDER,"ECUADOR MARITIME INTERDICTION - RAVEN UAS EQUIPMENT, TRAINING, AND LOGISTICS SUPPORT",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,"AEROVIRONMENT, INC"
CONT_AWD_FA489023F0039_9700_FA489018D0010_9700,FA489023F0039,3204624.04,3204624.04,2023-03-29,2023,Department of Defense,Department of the Air Force,YJG1MDHLBC88,"AEROVIRONMENT, INC.","AEROVIRONMENT, INC.",,,,DELIVERY ORDER,"FY22 TRANCHE 2 EL SALVADOR CIDT TRAINING AND SUPT - RAVEN UAS EQUIPMENT, TRAINING, AND LOGISTICS SUPPORT",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,"AEROVIRONMENT, INC"
CONT_AWD_FA491324P0020_9700_-NONE-_-NONE-,FA491324P0020,257583.2,257583.2,2024-07-31,2024,Department of Defense,Department of the Air Force,UDS8J41UURC6,TITAN DYNAMICS INC,TITAN DYNAMICS INC,,,,PURCHASE ORDER,SUAS SOFTWARE LICENSES FOR AFCENT TF 99,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED,NO SET ASIDE USED.,1.0,True,TITAN DYNAMICS INC
CONT_AWD_FA491324P0025_9700_-NONE-_-NONE-,FA491324P0025,338800.0,338800.0,2024-09-23,2024,Department of Defense,Department of the Air Force,R5NWZ87HPLX4,GPC CONSOLIDATED REPORTING,GPC CONSOLIDATED REPORTING,,,,PURCHASE ORDER,10X TIGUAR DRONES AND TRANSPORT CASES FOR TASK FORCE 99,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",COMPETED UNDER SAP,NO SET ASIDE USED.,17.0,True,GPC CONSOLIDATED REPORTING
CONT_AWD_FA491325P0006_9700_-NONE-_-NONE-,FA491325P0006,1235800.0,1235800.0,2025-07-02,2025,Department of Defense,Department of the Air Force,XDZYRNQZF9L6,UAVIONICS TECHNOLOGIES SP. Z O.O.,UAVIONICS TECHNOLOGIES SP. Z O.O.,,,,PURCHASE ORDER,"S-610 TIGUAR XL UNMANNED AERIAL VEHICLE TO INCLUDE AIRFRAME, SERVOS, AUTOPILOT, POWER SUPPLIES, BATTERIES, ENGINE, FUEL TANK. READY TO FLY. DOES NOT INCLUDE DATA LINK RADIO.",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0,True,UAVIONICS TECHNOLOGIES SP. Z O.O
